Count,Name,Position X,Position Y,Position Z,Rotation
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4728.0000,564.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4656.0000,468.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4728.0000,372.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4656.0000,564.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4728.0000,468.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,240.0000,444.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,312.0000,444.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,408.0000,348.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,192.0000,348.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,384.0000,444.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,24.0000,444.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,264.0000,588.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,168.0000,444.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,96.0000,444.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-RA_Symbol,4552.8480,290.3520,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-RA_Symbol,4552.8480,230.4120,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4536.0000,564.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-RA_Symbol,4552.8480,361.0080,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-RA_Symbol,4507.2000,177.6120,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-RA_Symbol,4500.0000,468.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-RA_Symbol,4572.0000,468.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-RA_Symbol,4507.2000,38.6880,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-RA_Symbol,4507.2000,114.1080,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4656.0000,276.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4728.0000,180.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4656.0000,372.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4728.0000,276.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4656.0000,180.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4584.0000,36.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4584.0000,132.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4728.0000,84.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,4656.0000,84.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,336.0000,348.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,2052.0000,1512.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,2124.0000,1512.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,2052.0000,1704.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,2052.0000,1608.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1932.0000,1512.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,1140.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1980.0000,1140.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1932.0000,1416.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,1140.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,1608.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,1512.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1908.0000,1704.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,1608.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,1416.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1980.0000,1608.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,2052.0000,1800.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1980.0000,1800.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1980.0000,1704.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,192.0000,204.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,360.0000,156.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,48.0000,204.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,120.0000,204.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,432.0000,156.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,432.0000,252.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,264.0000,348.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,264.0000,252.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,360.0000,252.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,48.0000,60.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,120.0000,60.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,2052.0000,1140.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,2124.0000,1140.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,192.0000,60.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,408.0000,60.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,264.0000,156.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,264.0000,60.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,336.0000,60.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4392.0000,3552.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4536.0000,3552.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4536.0000,3408.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4680.0000,3408.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4680.0000,3552.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3432.0000,3372.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3576.0000,3372.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3144.0000,3372.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3288.0000,3372.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3960.0000,3264.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4104.0000,3264.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4680.0000,3132.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4680.0000,3012.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4248.0000,3264.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4680.0000,3264.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4392.0000,3408.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4392.0000,3264.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4536.0000,3264.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2568.0000,3240.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2712.0000,3240.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2856.0000,3096.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3000.0000,3096.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2856.0000,3240.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2712.0000,3384.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2856.0000,3384.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3000.0000,3240.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2568.0000,3384.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3384.0000,3528.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3480.0000,3576.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3144.0000,3528.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3264.0000,3528.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3480.0000,3480.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2568.0000,3096.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2712.0000,3096.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3588.0000,3576.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3588.0000,3480.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4536.0000,3012.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2244.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2364.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2004.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2124.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2484.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2844.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2964.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2604.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,2724.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,1164.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,1284.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C_Symbol,1224.0000,528.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C_Symbol,1344.0000,528.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,1404.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,1764.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,1884.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,1524.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,1644.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4104.0000,3132.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4104.0000,3012.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3960.0000,3132.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3960.0000,3012.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4248.0000,3132.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4392.0000,3012.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4536.0000,3132.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4248.0000,3012.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,4392.0000,3132.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3324.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3444.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3084.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3204.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3564.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3816.0000,3132.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3816.0000,3012.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3684.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3804.0000,2892.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,3000.0000,3384.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,48.0000,1008.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,336.0000,1008.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,336.0000,1092.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,48.0000,1092.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,48.0000,888.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,336.0000,948.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,204.0000,816.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,336.0000,888.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,48.0000,948.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,696.0000,1980.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,816.0000,1980.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,708.0000,1752.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,828.0000,1752.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,696.0000,2076.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,336.0000,1212.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,48.0000,1212.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,336.0000,1332.0000,120.0000,90
